player_hand;player_options;player_decision;dealer_hand;dealer_options;dealer_decision;result;
['A', '9', '6', '2'];16;0;['5', '5', '9', '4'];19;1;2;
['10', '2'];[10];0;['10', '5'];[10];0;-1;
['8', '9'];[8];0;['6', '5'];[6];1;0;
['8', '9'];17;0;['6', '5', 'A'];11;1;0;
['8', '9'];17;0;['6', '5', 'A'];21;0;-1;
['J', '9'];[10];0;['8', '10'];[8];1;0;
['J', '9'];19;0;['8', '10', 'Q'];18;0;2;
['A', '3'];[1, 10];1;['5', '10'];[5];1;0;
['A', '3', '5'];13;1;['5', '10', '8'];15;1;2;
['3', '9'];[3];1;['4', '7'];[4];1;0;
['3', '9', '10'];12;0;['4', '7', '5'];11;1;-1;
['10', 'Q'];[10];1;['10', '2'];[10];0;0;
['10', 'Q', 'K'];20;1;['10', '2'];12;0;-1;
['4', '9'];[4];1;['7', 'A'];[7];1;0;
['4', '9', '10'];13;0;['7', 'A', 'A'];17;1;-1;
['2', '4'];[2];0;['6', '5'];[6];1;0;
['2', '4'];6;0;['6', '5', '10'];11;1;0;
['2', '4'];6;0;['6', '5', '10'];21;0;-1;
['2', '3'];[2];1;['Q', '8'];[10];1;0;
['2', '3', '9'];5;1;['Q', '8', '6'];18;0;2;
['5', '3'];[5];0;['6', '7'];[6];0;-1;
['Q', '9'];[10];0;['8', 'J'];[8];1;0;
['Q', '9'];19;0;['8', 'J', 'J'];18;1;2;
['2', 'K'];[2];1;['8', 'J'];[8];1;0;
['2', 'K', '8'];12;1;['8', 'J', '4'];18;1;2;
['K', 'A'];[10];1;['4', '9'];[4];1;0;
['K', 'A', 'A'];20;0;['4', '9', 'J'];13;1;2;
['10', '2'];[10];1;['9', '10'];[9];1;0;
['10', '2', 'A'];12;0;['9', '10', 'A'];19;1;0;
['10', '2', 'A'];13;0;['9', '10', 'A', 'K'];20;0;2;
['5', 'Q'];[5];1;['6', 'J'];[6];1;0;
['5', 'Q', '10'];15;1;['6', 'J', '4'];16;0;-1;
['9', '8'];[9];1;['A', '5'];[1, 10];1;0;
['9', '8', '7'];17;1;['A', '5', '5'];15;1;-1;
['4', '2'];[4];1;['K', '8'];[10];1;0;
['4', '2', 'Q'];6;1;['K', '8', '5'];18;1;2;
['J', '8'];[10];1;['3', '9'];[3];1;0;
['J', '8', '10'];18;1;['3', '9', 'Q'];12;1;1;
['4', '7'];[4];1;['8', '7'];[8];1;0;
['4', '7', 'Q'];11;1;['8', '7', '8'];15;1;2;
['Q', '4'];[10];1;['4', '5'];[4];0;0;
['Q', '4', '6'];14;1;['4', '5'];9;0;0;
['Q', '4', '6', '8'];20;1;['4', '5'];9;0;-1;
['J', 'Q'];[10];0;['A', '5'];[1, 10];1;0;
['J', 'Q'];20;0;['A', '5', '10'];15;1;0;
['J', 'Q'];20;0;['A', '5', '10', 'A'];16;0;2;
['10', 'Q'];[10];1;['5', 'A'];[5];1;0;
['10', 'Q', '4'];20;1;['5', 'A', '9'];15;1;-1;
['A', '7'];[1, 10];1;['10', '7'];[10];1;0;
['A', '7', '3'];17;0;['10', '7', '3'];17;1;0;
['A', '7', '3'];20;0;['10', '7', '3', 'J'];20;1;2;
['K', 'A'];[10];0;['8', '3'];[8];1;0;
['K', 'A'];20;0;['8', '3', '2'];11;1;0;
['K', 'A'];20;0;['8', '3', '2', '2'];13;1;0;
['K', 'A'];20;0;['8', '3', '2', '2', '9'];15;1;2;
['K', '10'];[10];1;['J', 'J'];[10];1;0;
['K', '10', '9'];20;1;['J', 'J', '7'];20;1;1;
['4', 'J'];[4];0;['A', 'A'];[1, 10];0;-1;
['A', '5'];[1, 10];0;['8', '3'];[8];1;0;
['A', '5'];15;0;['8', '3', '3'];11;0;2;
['Q', 'A'];[10];0;['8', 'J'];[8];1;0;
['Q', 'A'];20;0;['8', 'J', '7'];18;0;2;
['J', 'Q'];[10];1;['10', 'Q'];[10];1;0;
['J', 'Q', '2'];20;0;['10', 'Q', '2'];20;0;1;
['10', '10'];[10];1;['10', 'K'];[10];1;0;
['10', '10', 'A'];20;1;['10', 'K', '6'];20;1;2;
['4', '4'];[4];1;['3', '6'];[3];1;0;
['4', '4', '9'];8;1;['3', '6', '10'];9;0;0;
['4', '4', '9', '2'];17;1;['3', '6', '10'];19;0;0;
['4', '4', '9', '2', 'J'];19;1;['3', '6', '10'];19;0;-1;
['6', '6'];[6];1;['6', 'Q'];[6];1;0;
['6', '6', '6'];12;1;['6', 'Q', '2'];16;1;0;
['6', '6', '6', '4'];18;1;['6', 'Q', '2', '8'];18;1;1;
['4', 'K'];[4];1;['3', '5'];[3];1;0;
['4', 'K', '6'];14;1;['3', '5', 'J'];8;1;0;
['4', 'K', '6', '2'];20;1;['3', '5', 'J', 'Q'];18;1;1;
['A', '6'];[1, 10];1;['4', '8'];[4];0;0;
['A', '6', '2'];16;1;['4', '8'];12;0;0;
['A', '6', '2', 'Q'];18;1;['4', '8'];12;0;0;
['A', '6', '2', 'Q', 'A'];19;0;['4', '8'];12;0;2;
['3', '4'];[3];1;['6', '10'];[6];1;0;
['3', '4', '10'];7;1;['6', '10', 'J'];16;0;2;
['7', '6'];[7];1;['A', 'A'];[1, 10];1;0;
['7', '6', 'K'];13;1;['A', 'A', 'J'];20;1;-1;
['6', '4'];[6];0;['4', 'Q'];[4];1;0;
['6', '4'];10;0;['4', 'Q', 'Q'];14;1;2;
['K', 'A'];[10];1;['4', 'Q'];[4];1;0;
['K', 'A', 'K'];20;0;['4', 'Q', 'Q'];14;1;2;
['4', 'K'];[4];1;['Q', 'Q'];[10];1;0;
['4', 'K', '2'];14;1;['Q', 'Q', 'J'];20;1;2;
['2', '3'];[2];0;['6', '3'];[6];1;0;
['2', '3'];5;0;['6', '3', '5'];9;0;-1;
['A', '10'];[1, 10];0;['8', '6'];[8];1;0;
['A', '10'];20;0;['8', '6', 'A'];14;1;0;
['A', '10'];20;0;['8', '6', 'A', 'A'];15;1;0;
['A', '10'];20;0;['8', '6', 'A', 'A', '3'];16;1;0;
['A', '10'];20;0;['8', '6', 'A', 'A', '3', '8'];19;1;2;
['K', '4'];[10];1;['A', '6'];[1, 10];1;0;
['K', '4', 'A'];14;1;['A', '6', 'K'];16;0;0;
['K', '4', 'A', 'J'];15;0;['A', '6', 'K'];17;0;-1;
['4', 'J'];[4];1;['6', '4'];[6];1;0;
['4', 'J', 'A'];14;1;['6', '4', '3'];10;1;0;
['4', 'J', 'A', '9'];15;1;['6', '4', '3', '8'];13;1;-1;
['10', '5'];[10];1;['6', '7'];[6];1;0;
['10', '5', '9'];15;1;['6', '7', '10'];13;1;1;
['9', '5'];[9];1;['Q', '7'];[10];0;0;
['9', '5', '5'];14;1;['Q', '7'];17;0;0;
['9', '5', '5', '6'];19;1;['Q', '7'];17;0;-1;
['4', 'K'];[4];1;['Q', '8'];[10];1;0;
['4', 'K', 'K'];14;1;['Q', '8', 'J'];18;1;1;
['J', 'Q'];[10];0;['K', '9'];[10];1;0;
['J', 'Q'];20;0;['K', '9', '6'];19;1;2;
['2', '3'];[2];1;['K', '3'];[10];1;0;
['2', '3', 'Q'];5;1;['K', '3', '10'];13;1;2;
['Q', 'A'];[10];0;['8', 'K'];[8];1;0;
['Q', 'A'];20;0;['8', 'K', '3'];18;1;0;
['Q', 'A'];20;0;['8', 'K', '3'];21;0;-1;
['3', '9'];[3];1;['Q', '9'];[10];0;0;
['3', '9', '2'];12;1;['Q', '9'];19;0;0;
['3', '9', '2', '8'];14;1;['Q', '9'];19;0;-1;
['10', '7'];[10];0;['2', '9'];[2];1;0;
['10', '7'];17;0;['2', '9', '7'];11;0;-1;
['8', '3'];[8];0;['6', '7'];[6];0;-1;
['3', '7'];[3];1;['Q', '4'];[10];1;0;
['3', '7', 'K'];10;0;['Q', '4', '9'];14;1;2;
['Q', '2'];[10];1;['9', '2'];[9];1;0;
['Q', '2', '7'];12;0;['9', '2', '5'];11;0;2;
['5', '5'];[5];0;['K', '8'];[10];1;0;
['5', '5'];10;0;['K', '8', 'J'];18;1;2;
['6', '2'];[6];1;['Q', '2'];[10];1;0;
['6', '2', '5'];8;1;['Q', '2', '4'];12;1;0;
['6', '2', '5', '4'];13;1;['Q', '2', '4', '7'];16;1;2;
['9', '6'];[9];1;['7', '9'];[7];1;0;
['9', '6', '9'];15;0;['7', '9', '3'];16;1;-1;
['K', '8'];[10];1;['A', '10'];[1, 10];1;0;
['K', '8', '6'];18;1;['A', '10', '10'];20;1;-1;
['4', 'K'];[4];1;['8', '9'];[8];1;0;
['4', 'K', '8'];14;1;['8', '9', 'J'];17;1;1;
['8', 'J'];[8];0;['A', 'A'];[1, 10];0;-1;
['6', 'A'];[6];1;['5', 'K'];[5];1;0;
['6', 'A', 'A'];16;0;['5', 'K', '7'];15;1;2;
['K', 'K'];[10];1;['Q', 'A'];[10];0;0;
['K', 'K', '3'];20;0;['Q', 'A'];20;0;-1;
['2', '7'];[2];1;['4', '4'];[4];1;0;
['2', '7', '7'];9;1;['4', '4', 'Q'];8;1;0;
['2', '7', '7', '2'];16;0;['4', '4', 'Q', '2'];18;1;0;
['2', '7', '7', '2'];18;0;['4', '4', 'Q', '2', '4'];20;1;2;
['7', '2'];[7];0;['J', 'K'];[10];0;-1;
['9', '6'];[9];1;['8', 'K'];[8];0;0;
['9', '6', 'K'];15;1;['8', 'K'];18;0;-1;
['6', '4'];[6];1;['6', '4'];[6];0;0;
['6', '4', '6'];10;1;['6', '4'];10;0;0;
['6', '4', '6', '2'];16;1;['6', '4'];10;0;0;
['6', '4', '6', '2', '3'];18;1;['6', '4'];10;0;0;
['6', '4', '6', '2', '3'];21;0;['6', '4'];10;0;2;
['8', '4'];[8];1;['A', 'J'];[1, 10];1;0;
['8', '4', '4'];12;1;['A', 'J', '10'];20;1;0;
['8', '4', '4', '9'];16;0;['A', 'J', '10'];21;0;-1;
['2', '10'];[2];0;['5', '4'];[5];1;0;
['2', '10'];12;0;['5', '4', '5'];9;0;-1;
['7', '2'];[7];1;['J', 'K'];[10];1;0;
['7', '2', '3'];9;1;['J', 'K', '5'];20;1;2;
['5', '3'];[5];1;['A', '3'];[1, 10];1;0;
['5', '3', '3'];8;1;['A', '3', '5'];13;1;0;
['5', '3', '3', '2'];11;0;['A', '3', '5', '8'];18;1;0;
['5', '3', '3', '2'];13;0;['A', '3', '5', '8', '7'];17;1;2;
['K', '8'];[10];1;['7', 'J'];[7];1;0;
['K', '8', 'J'];18;1;['7', 'J', '8'];17;1;1;
['J', 'K'];[10];1;['9', 'K'];[9];1;0;
['J', 'K', '10'];20;1;['9', 'K', 'Q'];19;1;1;
['7', '5'];[7];1;['5', 'K'];[5];0;0;
['7', '5', '7'];12;0;['5', 'K'];15;0;2;
['J', '4'];[10];1;['3', '3'];[3];0;0;
['J', '4', '4'];14;1;['3', '3'];6;0;0;
['J', '4', '4', '7'];18;1;['3', '3'];6;0;-1;
['6', 'A'];[6];1;['10', '7'];[10];1;0;
['6', 'A', '9'];16;1;['10', '7', '9'];17;1;2;
['4', 'K'];[4];1;['Q', '6'];[10];0;0;
['4', 'K', '2'];14;1;['Q', '6'];16;0;0;
['4', 'K', '2', '6'];16;0;['Q', '6'];16;0;-1;
['2', '9'];[2];1;['K', 'Q'];[10];0;0;
['2', '9', 'J'];11;0;['K', 'Q'];20;0;2;
['8', 'J'];[8];1;['5', 'A'];[5];1;0;
['8', 'J', '4'];18;1;['5', 'A', '8'];15;1;-1;
['K', '5'];[10];1;['Q', '5'];[10];1;0;
['K', '5', 'A'];15;1;['Q', '5', 'J'];15;1;2;
['K', 'J'];[10];1;['9', '5'];[9];1;0;
['K', 'J', 'Q'];20;0;['9', '5', '3'];14;1;-1;
['3', '10'];[3];0;['Q', '6'];[10];1;0;
['3', '10'];13;0;['Q', '6', 'K'];16;0;2;
['5', '4'];[5];1;['K', '6'];[10];1;0;
['5', '4', '10'];9;1;['K', '6', '2'];16;1;0;
['5', '4', '10', '2'];19;0;['K', '6', '2', '3'];18;1;0;
['5', '4', '10', '2'];21;0;['K', '6', '2', '3'];21;0;1;
['7', '3'];[7];1;['A', '3'];[1, 10];1;0;
['7', '3', '9'];10;1;['A', '3', '3'];13;1;0;
['7', '3', '9', 'K'];19;0;['A', '3', '3', 'J'];16;1;-1;
['8', '8'];[8];1;['A', '7'];[1, 10];1;0;
['8', '8', 'K'];16;1;['A', '7', '2'];17;0;-1;
['9', '5'];[9];1;['9', '8'];[9];1;0;
['9', '5', 'J'];14;1;['9', '8', '5'];17;1;1;
['4', '6'];[4];1;['Q', 'A'];[10];1;0;
['4', '6', '9'];10;1;['Q', 'A', '7'];20;1;0;
['4', '6', '9', 'Q'];19;1;['Q', 'A', '7', '6'];18;1;1;
['K', 'Q'];[10];1;['10', 'K'];[10];1;0;
['K', 'Q', 'A'];20;0;['10', 'K', '7'];20;1;2;
['2', '4'];[2];0;['6', '3'];[6];1;0;
['2', '4'];6;0;['6', '3', '5'];9;0;-1;
['A', '6'];[1, 10];0;['10', '7'];[10];0;-1;
['A', 'A'];[1, 10];1;['Q', '3'];[10];1;0;
['A', 'A', 'A'];20;1;['Q', '3', '2'];13;1;0;
['A', 'A', 'A'];21;0;['Q', '3', '2', '3'];15;1;0;
['A', 'A', 'A'];21;0;['Q', '3', '2', '3', '8'];18;1;2;
['9', '4'];[9];1;['3', '2'];[3];1;0;
['9', '4', '7'];13;0;['3', '2', '7'];5;0;2;
['9', 'A'];[9];1;['8', 'J'];[8];1;0;
['9', 'A', '4'];19;0;['8', 'J', 'K'];18;1;2;
['J', '3'];[10];1;['6', '5'];[6];0;0;
['J', '3', '6'];13;1;['6', '5'];11;0;0;
['J', '3', '6', '10'];19;1;['6', '5'];11;0;-1;
['Q', '7'];[10];1;['10', '3'];[10];1;0;
['Q', '7', '6'];17;1;['10', '3', '9'];13;1;1;
['5', '2'];[5];1;['A', '2'];[1, 10];0;0;
['5', '2', '6'];7;1;['A', '2'];12;0;0;
['5', '2', '6', 'K'];13;1;['A', '2'];12;0;-1;
['7', '5'];[7];1;['6', 'K'];[6];0;0;
['7', '5', 'Q'];12;1;['6', 'K'];16;0;-1;
['2', '5'];[2];1;['10', 'Q'];[10];1;0;
['2', '5', '7'];7;1;['10', 'Q', 'J'];20;0;2;
['5', 'A'];[5];1;['6', '7'];[6];1;0;
['5', 'A', '9'];15;1;['6', '7', '9'];13;1;2;
['Q', '4'];[10];1;['8', '10'];[8];0;0;
['Q', '4', '9'];14;1;['8', '10'];18;0;-1;
['6', 'K'];[6];0;['4', '5'];[4];1;0;
['6', 'K'];16;0;['4', '5', '2'];9;1;0;
['6', 'K'];16;0;['4', '5', '2', '8'];11;1;0;
['6', 'K'];16;0;['4', '5', '2', '8', '5'];19;1;2;
['8', '8'];[8];1;['10', 'Q'];[10];1;0;
['8', '8', '2'];16;1;['10', 'Q', '8'];20;1;2;
['9', '10'];[9];1;['10', '2'];[10];1;0;
['9', '10', '3'];19;1;['10', '2', '5'];12;1;-1;
['10', '7'];[10];1;['6', '5'];[6];0;0;
['10', '7', '6'];17;0;['6', '5'];11;0;-1;
['Q', '5'];[10];1;['6', 'K'];[6];0;0;
['Q', '5', '3'];15;1;['6', 'K'];16;0;0;
['Q', '5', '3', '9'];18;1;['6', 'K'];16;0;-1;
['10', '7'];[10];1;['4', 'J'];[4];0;0;
['10', '7', '3'];17;1;['4', 'J'];14;0;0;
['10', '7', '3', '4'];20;0;['4', 'J'];14;0;-1;
['9', '8'];[9];0;['2', '10'];[2];1;0;
['9', '8'];17;0;['2', '10', '5'];12;1;0;
['9', '8'];17;0;['2', '10', '5', '7'];17;1;2;
['2', '3'];[2];0;['A', '3'];[1, 10];1;0;
['2', '3'];5;0;['A', '3', '9'];13;1;0;
['2', '3'];5;0;['A', '3', '9', 'K'];13;0;2;
['10', '3'];[10];1;['6', '2'];[6];1;0;
['10', '3', '2'];13;1;['6', '2', 'K'];8;1;0;
['10', '3', '2', '4'];15;0;['6', '2', 'K', '6'];18;1;2;
['2', 'J'];[2];1;['3', '4'];[3];1;0;
['2', 'J', 'K'];12;1;['3', '4', '8'];7;1;-1;
['9', '4'];[9];1;['10', 'Q'];[10];0;0;
['9', '4', '5'];13;0;['10', 'Q'];20;0;-1;
['J', '6'];[10];0;['8', '7'];[8];1;0;
['J', '6'];16;0;['8', '7', 'J'];15;1;2;
['A', '2'];[1, 10];1;['A', '4'];[1, 10];1;0;
['A', '2', 'A'];12;0;['A', '4', '6'];14;0;-1;
['K', 'Q'];[10];1;['7', '5'];[7];1;0;
['K', 'Q', 'K'];20;1;['7', '5', '6'];12;1;-1;
['K', '7'];[10];1;['2', '10'];[2];1;0;
['K', '7', 'A'];17;0;['2', '10', 'Q'];12;1;2;
['8', 'K'];[8];1;['Q', '6'];[10];1;0;
['8', 'K', '2'];18;1;['Q', '6', '6'];16;1;2;
['4', '2'];[4];1;['9', '5'];[9];0;0;
['4', '2', '2'];6;1;['9', '5'];14;0;0;
['4', '2', '2', '2'];8;0;['9', '5'];14;0;-1;
['J', 'A'];[10];1;['K', '3'];[10];1;0;
['J', 'A', '4'];20;1;['K', '3', 'A'];13;0;0;
['J', 'A', '4', 'Q'];15;1;['K', '3', 'A'];14;0;-1;
['8', '7'];[8];1;['A', '8'];[1, 10];1;0;
['8', '7', 'A'];15;0;['A', '8', '6'];18;1;0;
['8', '7', 'A'];16;0;['A', '8', '6', '7'];15;1;2;
['6', '7'];[6];0;['7', '7'];[7];1;0;
['6', '7'];13;0;['7', '7', '7'];14;1;0;
['6', '7'];13;0;['7', '7', '7'];21;0;-1;
['2', '8'];[2];1;['2', 'K'];[2];1;0;
['2', '8', 'Q'];10;1;['2', 'K', '6'];12;0;0;
['2', '8', 'Q', '4'];20;0;['2', 'K', '6'];18;0;-1;
['9', '5'];[9];1;['9', 'A'];[9];1;0;
['9', '5', 'A'];14;0;['9', 'A', 'K'];19;1;0;
['9', '5', 'A'];15;0;['9', 'A', 'K', 'J'];20;1;2;
['7', 'J'];[7];0;['5', '9'];[5];1;0;
['7', 'J'];17;0;['5', '9', '2'];14;0;2;
['3', '2'];[3];1;['5', 'J'];[5];1;0;
['3', '2', '9'];5;0;['5', 'J', '8'];15;1;2;
['4', '5'];[4];1;['J', '5'];[10];0;0;
['4', '5', 'J'];9;1;['J', '5'];15;0;0;
['4', '5', 'J', '9'];19;0;['J', '5'];15;0;-1;
['3', 'K'];[3];1;['2', '10'];[2];1;0;
['3', 'K', '2'];13;0;['2', '10', '2'];12;1;0;
['3', 'K', '2'];15;0;['2', '10', '2', 'K'];14;1;2;
['10', 'Q'];[10];0;['7', '8'];[7];1;0;
['10', 'Q'];20;0;['7', '8', '3'];15;1;0;
['10', 'Q'];20;0;['7', '8', '3', '4'];18;1;2;
['K', 'J'];[10];1;['5', '7'];[5];1;0;
['K', 'J', '3'];20;1;['5', '7', '3'];12;1;-1;
['5', '4'];[5];1;['9', 'Q'];[9];1;0;
['5', '4', '4'];9;0;['9', 'Q', '7'];19;1;2;
['9', '6'];[9];1;['A', '7'];[1, 10];0;0;
['9', '6', '10'];15;1;['A', '7'];17;0;-1;
